Year,Pleasure_Holiday,Business,Visiting_Friends_Relations,Convention_meeting,Religious_Cultural,Health,Sports,Official,Education,Others,Total_arrivals
2006,377172,99609,42530,16788,9513,NA,NA,NA,NA,13990,559603
2007,331479,51871,41003,7410,13832,NA,NA,NA,NA,48413,494008
2008,320964,37270,36393,5700,11400,NA,NA,NA,NA,26747,438475
2009,358312,38519,23290,6270,8958,NA,NA,NA,NA,12541,447890
2010,516382,83118,35342,6545,5236,NA,NA,NA,NA,7854,654476
2011,688204,68478,70190,14552,2568,NA,NA,NA,NA,11984,855975
2012,748170,90504,117656,22123,22123,NA,NA,NA,NA,5028,1005605
2013,926629,66279,158050,25492,61180,NA,NA,NA,NA,36963,1274593
2014,1037700,20311,419203,4429,153,8094,8094,4581,1680,22755,1527000.285
2015,1197721,23379,458587,5395,1798,57548,12589,7194,3597,30572,1798380
2016,1710394,36915,235846,16407,0,12305,8203,6152,0,24610,2050832
2017,1743919,69841,239154,27513,0,10582,16931,6349,2116,0,2116407
2018,1906711,93352,252050,39675,2334,21004,14003,2334,2334,0,2333796
2019,1592200,69850,200556,18946,574,11291,13779,191,6124,191,1913702
