Year,Arrivals 
1970,46247
1971,39654
1972,56047
1973,77888
1974,85011
1975,103204
1976,118971
1977,153665
1978,192592
1979,250164
1980,316780
1981,370742
1982,407230
1983,337530
1984,317734
1985,257456
1986,230106
1987,182620
1988,182662
1989,184732
1990,297888
1991,317703
1992,393669
1993,392250
1994,407511
1995,403101
1996,302265
1997,366165
1998,366165
1999,436440
2000,400414
2001,336794
2002,393171
2003,500642
2004,566202
2005,549308
2006,559603
2007,494008
2008,438475
2009,447890
2010,654476
2011,855975
2012,1005605
2013,1274593
2014,1527153
2015,1798380
2016,2050832
2017,2116407
2018,2333796
2019,"1913702 
"
